run_id,lactinv_sample_id,bmc_sample_id,lane1,lane2
230202YilA,202304933,D23-115011,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115011-1-6110F/230202YilA_D23-115011-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115011-2-6110F/230202YilA_D23-115011-2_phiX_bestmap.bam
230202YilA,202304983,D23-115012,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115012-1-6110F/230202YilA_D23-115012-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115012-2-6110F/230202YilA_D23-115012-2_phiX_bestmap.bam
230202YilA,202304988,D23-115013,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115013-1-6110F/230202YilA_D23-115013-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115013-2-6110F/230202YilA_D23-115013-2_phiX_bestmap.bam
230202YilA,202304993,D23-115014,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115014-1-6110F/230202YilA_D23-115014-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115014-2-6110F/230202YilA_D23-115014-2_phiX_bestmap.bam
230202YilA,202304998,D23-115015,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115015-1-6110F/230202YilA_D23-115015-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115015-2-6110F/230202YilA_D23-115015-2_phiX_bestmap.bam
230202YilA,202306010,D23-115016,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115016-1-6110F/230202YilA_D23-115016-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115016-2-6110F/230202YilA_D23-115016-2_phiX_bestmap.bam
230202YilA,202305000,D23-115017,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115017-1-6110F/230202YilA_D23-115017-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115017-2-6110F/230202YilA_D23-115017-2_phiX_bestmap.bam
230202YilA,202306016,D23-115018,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115018-1-6110F/230202YilA_D23-115018-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115018-2-6110F/230202YilA_D23-115018-2_phiX_bestmap.bam
230202YilA,202306021,D23-115019,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115019-1-6110F/230202YilA_D23-115019-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115019-2-6110F/230202YilA_D23-115019-2_phiX_bestmap.bam
230202YilA,202305005,D23-115020,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115020-1-6110F/230202YilA_D23-115020-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115020-2-6110F/230202YilA_D23-115020-2_phiX_bestmap.bam
230202YilA,202306025,D23-115021,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115021-1-6110F/230202YilA_D23-115021-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115021-2-6110F/230202YilA_D23-115021-2_phiX_bestmap.bam
230202YilA,202305815,D23-115022,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115022-1-6110F/230202YilA_D23-115022-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115022-2-6110F/230202YilA_D23-115022-2_phiX_bestmap.bam
230202YilA,202305818,D23-115023,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115023-1-6110F/230202YilA_D23-115023-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115023-2-6110F/230202YilA_D23-115023-2_phiX_bestmap.bam
230202YilA,202304671,D23-115024,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115024-1-6110F/230202YilA_D23-115024-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115024-2-6110F/230202YilA_D23-115024-2_phiX_bestmap.bam
230202YilA,202305827,D23-115025,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115025-1-6110F/230202YilA_D23-115025-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115025-2-6110F/230202YilA_D23-115025-2_phiX_bestmap.bam
230202YilA,202305823,D23-115026,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115026-1-6110F/230202YilA_D23-115026-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115026-2-6110F/230202YilA_D23-115026-2_phiX_bestmap.bam
230202YilA,202305830,D23-115027,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115027-1-6110F/230202YilA_D23-115027-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115027-2-6110F/230202YilA_D23-115027-2_phiX_bestmap.bam
230202YilA,202304705,D23-115028,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115028-1-6110F/230202YilA_D23-115028-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115028-2-6110F/230202YilA_D23-115028-2_phiX_bestmap.bam
230202YilA,202305859,D23-115029,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115029-1-6110F/230202YilA_D23-115029-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115029-2-6110F/230202YilA_D23-115029-2_phiX_bestmap.bam
230202YilA,202304699,D23-115030,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115030-1-6110F/230202YilA_D23-115030-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115030-2-6110F/230202YilA_D23-115030-2_phiX_bestmap.bam
230202YilA,202304714,D23-115031,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115031-1-6110F/230202YilA_D23-115031-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115031-2-6110F/230202YilA_D23-115031-2_phiX_bestmap.bam
230202YilA,202304711,D23-115032,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115032-1-6110F/230202YilA_D23-115032-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115032-2-6110F/230202YilA_D23-115032-2_phiX_bestmap.bam
230202YilA,202304708,D23-115033,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115033-1-6110F/230202YilA_D23-115033-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115033-2-6110F/230202YilA_D23-115033-2_phiX_bestmap.bam
230202YilA,202305863,D23-115034,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115034-1-6110F/230202YilA_D23-115034-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115034-2-6110F/230202YilA_D23-115034-2_phiX_bestmap.bam
230202YilA,202305867,D23-115035,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115035-1-6110F/230202YilA_D23-115035-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115035-2-6110F/230202YilA_D23-115035-2_phiX_bestmap.bam
230202YilA,202305016,D23-115036,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115036-1-6110F/230202YilA_D23-115036-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115036-2-6110F/230202YilA_D23-115036-2_phiX_bestmap.bam
230202YilA,202305033,D23-115037,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115037-1-6110F/230202YilA_D23-115037-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115037-2-6110F/230202YilA_D23-115037-2_phiX_bestmap.bam
230202YilA,202305037,D23-115038,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115038-1-6110F/230202YilA_D23-115038-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115038-2-6110F/230202YilA_D23-115038-2_phiX_bestmap.bam
230202YilA,202306033,D23-115039,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115039-1-6110F/230202YilA_D23-115039-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115039-2-6110F/230202YilA_D23-115039-2_phiX_bestmap.bam
230202YilA,202305025,D23-115040,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115040-1-6110F/230202YilA_D23-115040-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115040-2-6110F/230202YilA_D23-115040-2_phiX_bestmap.bam
230202YilA,202305040,D23-115041,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115041-1-6110F/230202YilA_D23-115041-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115041-2-6110F/230202YilA_D23-115041-2_phiX_bestmap.bam
230202YilA,202305053,D23-115042,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115042-1-6110F/230202YilA_D23-115042-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115042-2-6110F/230202YilA_D23-115042-2_phiX_bestmap.bam
230202YilA,202306052,D23-115043,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115043-1-6110F/230202YilA_D23-115043-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115043-2-6110F/230202YilA_D23-115043-2_phiX_bestmap.bam
230202YilA,202305064,D23-115044,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115044-1-6110F/230202YilA_D23-115044-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115044-2-6110F/230202YilA_D23-115044-2_phiX_bestmap.bam
230202YilA,202305703,D23-115045,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115045-1-6110F/230202YilA_D23-115045-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115045-2-6110F/230202YilA_D23-115045-2_phiX_bestmap.bam
230202YilA,202305708,D23-115046,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115046-1-6110F/230202YilA_D23-115046-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115046-2-6110F/230202YilA_D23-115046-2_phiX_bestmap.bam
230202YilA,202305711,D23-115047,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115047-1-6110F/230202YilA_D23-115047-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115047-2-6110F/230202YilA_D23-115047-2_phiX_bestmap.bam
230202YilA,202305719,D23-115048,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115048-1-6110F/230202YilA_D23-115048-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115048-2-6110F/230202YilA_D23-115048-2_phiX_bestmap.bam
230202YilA,202305716,D23-115049,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115049-1-6110F/230202YilA_D23-115049-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115049-2-6110F/230202YilA_D23-115049-2_phiX_bestmap.bam
230202YilA,202305722,D23-115050,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115050-1-6110F/230202YilA_D23-115050-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115050-2-6110F/230202YilA_D23-115050-2_phiX_bestmap.bam
230202YilA,202305730,D23-115051,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115051-1-6110F/230202YilA_D23-115051-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115051-2-6110F/230202YilA_D23-115051-2_phiX_bestmap.bam
230202YilA,202305738,D23-115052,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115052-1-6110F/230202YilA_D23-115052-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115052-2-6110F/230202YilA_D23-115052-2_phiX_bestmap.bam
230202YilA,202305734,D23-115053,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115053-1-6110F/230202YilA_D23-115053-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115053-2-6110F/230202YilA_D23-115053-2_phiX_bestmap.bam
230202YilA,202305749,D23-115054,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115054-1-6110F/230202YilA_D23-115054-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115054-2-6110F/230202YilA_D23-115054-2_phiX_bestmap.bam
230202YilA,202305757,D23-115055,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115055-1-6110F/230202YilA_D23-115055-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115055-2-6110F/230202YilA_D23-115055-2_phiX_bestmap.bam
230202YilA,202305752,D23-115056,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115056-1-6110F/230202YilA_D23-115056-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115056-2-6110F/230202YilA_D23-115056-2_phiX_bestmap.bam
230202YilA,202304636,D23-115057,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115057-1-6110F/230202YilA_D23-115057-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115057-2-6110F/230202YilA_D23-115057-2_phiX_bestmap.bam
230202YilA,202304639,D23-115058,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115058-1-6110F/230202YilA_D23-115058-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115058-2-6110F/230202YilA_D23-115058-2_phiX_bestmap.bam
230202YilA,202305761,D23-115059,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115059-1-6110F/230202YilA_D23-115059-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115059-2-6110F/230202YilA_D23-115059-2_phiX_bestmap.bam
230202YilA,202305765,D23-115060,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115060-1-6110F/230202YilA_D23-115060-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115060-2-6110F/230202YilA_D23-115060-2_phiX_bestmap.bam
230202YilA,202305769,D23-115061,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115061-1-6110F/230202YilA_D23-115061-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115061-2-6110F/230202YilA_D23-115061-2_phiX_bestmap.bam
230202YilA,202305773,D23-115062,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115062-1-6110F/230202YilA_D23-115062-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115062-2-6110F/230202YilA_D23-115062-2_phiX_bestmap.bam
230202YilA,202305776,D23-115063,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115063-1-6110F/230202YilA_D23-115063-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115063-2-6110F/230202YilA_D23-115063-2_phiX_bestmap.bam
230202YilA,202305781,D23-115064,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115064-1-6110F/230202YilA_D23-115064-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115064-2-6110F/230202YilA_D23-115064-2_phiX_bestmap.bam
230202YilA,202305784,D23-115065,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115065-1-6110F/230202YilA_D23-115065-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115065-2-6110F/230202YilA_D23-115065-2_phiX_bestmap.bam
230202YilA,202304641,D23-115066,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115066-1-6110F/230202YilA_D23-115066-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115066-2-6110F/230202YilA_D23-115066-2_phiX_bestmap.bam
230202YilA,202304646,D23-115067,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115067-1-6110F/230202YilA_D23-115067-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115067-2-6110F/230202YilA_D23-115067-2_phiX_bestmap.bam
230202YilA,202305793,D23-115068,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115068-1-6110F/230202YilA_D23-115068-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115068-2-6110F/230202YilA_D23-115068-2_phiX_bestmap.bam
230202YilA,202304654,D23-115069,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115069-1-6110F/230202YilA_D23-115069-1_phiX_bestmap.bam,/n/groups/kwon/data1/sequencing_run_archive_DO_NOT_EDIT/2023_02_02_NovaSeq/230202YilA/D23-115069-2-6110F/230202YilA_D23-115069-2_phiX_bestmap.bam
