user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
LV2B000011	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.94	0.751	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.469; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.7, 0.475; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 88.02, 0.47	N/A	N/A	N/A	N/A
LV2B000012	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.02	0.751	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.56, 0.481; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.87, 0.47; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.469	N/A	N/A	N/A	N/A
LV2B000013	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.95	0.746	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.72, 0.475; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.94, 0.464	N/A	N/A	N/A	N/A
LV2B000014	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.758	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.95, 0.472; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.37, 0.481	N/A	N/A	N/A	N/A
LV2B000015	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.94	0.751	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.3, 0.469; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.97, 0.467; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.469	N/A	N/A	N/A	N/A
LV2B000016	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.92	0.752	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.45, 0.478; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.94, 0.469; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.99, 0.468	N/A	N/A	N/A	N/A
LV2B000017	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.92	0.752	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.56, 0.473; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.469; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.94, 0.47	N/A	N/A	N/A	N/A
LV2B000018	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.91	0.749	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.481; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.89, 0.47	N/A	N/A	N/A	N/A
LV2B000019	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.03	0.752	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.36, 0.471; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.468; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.88, 0.465	N/A	N/A	N/A	N/A
LV2B000020	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.9	0.749	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.56, 0.481; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.85, 0.469; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.94, 0.469	N/A	N/A	N/A	N/A
LV2B000021	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.02	0.751	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.5, 0.481; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.94, 0.468; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.93, 0.467	N/A	N/A	N/A	N/A
LV2B000022	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.94	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.64, 0.403; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.12, 0.667	N/A	N/A	N/A	N/A
LV2B000023	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.94	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.17, 0.671; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.37, 0.408	N/A	N/A	N/A	N/A
LV2B000024	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.95	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.39, 0.668; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.37, 0.407	N/A	N/A	N/A	N/A
LV2B000025	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.95	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.46, 0.408; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.27, 0.663	N/A	N/A	N/A	N/A
LV2B000026	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.01	0.748	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.71, 0.479; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.99, 0.468	N/A	N/A	N/A	N/A
LV2B000027	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.94	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.37, 0.669; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.46, 0.411	N/A	N/A	N/A	N/A
LV2B000028	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.94	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.46, 0.409; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.2, 0.665	N/A	N/A	N/A	N/A
LV2B000029	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.95	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.19, 0.666; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.39, 0.411	N/A	N/A	N/A	N/A
LV2B000030	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	GCF_001436455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	99.94	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 89.3, 0.665; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 88.32, 0.408	N/A	N/A	N/A	N/A
LV2B000031	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	GCF_007095465.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	99.62	0.918	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 89.45, 0.692; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 96.8, 0.526	N/A	N/A	N/A	N/A
LV2B000032	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	GCF_007095465.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris	99.54	0.918	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 96.8, 0.526; GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 89.45, 0.693	N/A	N/A	N/A	N/A
LV2B000033	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.02	0.771	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.49, 0.5; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.38, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.49, 0.483	N/A	N/A	N/A	N/A
LV2B000034	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.04	0.77	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.4, 0.476; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.83, 0.476; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.88, 0.487	N/A	N/A	N/A	N/A
LV2B000035	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.06	0.77	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.49, 0.5; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.38, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.69, 0.481	N/A	N/A	N/A	N/A
LV2B000036	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.0	0.773	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.39, 0.477; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.59, 0.479; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.4, 0.499	N/A	N/A	N/A	N/A
LV2B000037	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.04	0.769	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.38, 0.477; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.49, 0.5; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.68, 0.482	N/A	N/A	N/A	N/A
LV2B000038	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.748	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.55, 0.48; GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.92, 0.465	N/A	N/A	N/A	N/A
LV2B000039	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.94	0.748	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 93.95, 0.47; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.72, 0.471; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.9, 0.462	N/A	N/A	N/A	N/A
LV2B000040	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_018987235.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	97.93	0.736	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022756575.1, s__Lactobacillus mulieris_A, 95.0, 94.04, 0.47; GCA_930989465.1, s__Lactobacillus sp930989465, 95.0, 90.58, 0.48; GCF_947367125.1, s__Lactobacillus sp947367125, 95.0, 87.98, 0.471	N/A	N/A	N/A	N/A
